,Company,Job Title,Job Location,Job Date,Job Image URL
64,Cobblestone Energy,"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE","Shubra El Kheima, Al Qalyubiyah, Egypt",3 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw
65,Reliance Health,Data Scientist,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGz2MAmNGdUfQ/company-logo_100_100/0/1642678205634?e=2147483647&v=beta&t=SWsgAh-SdL8yAoXMt4zhwtxarX-hMKJmfyh2H-j3kL8
66,Cobblestone Energy,"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE","Alexandria, Alexandria, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw
67,Orange Egypt,Financial Analysis Super - Decision Support (Tech & Support Functions),"Giza, Al Jizah, Egypt",2 days ago,https://media-exp1.licdn.com/dms/image/C560BAQFvkFAZkfQhOQ/company-logo_100_100/0/1575458560685?e=2147483647&v=beta&t=FDVyQuEhqLWbWW0tlIbJnPUFZ4FdYz8tzQJlRn5RW0I
68,OLX Egypt,Data Analyst,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFV6Nh-zE7eww/company-logo_100_100/0/1649769484075?e=2147483647&v=beta&t=JsuDaYmj-sXN2mhdkrpiID-EkSdh5pd6ucV8s5fdIqA
69,Cornerstone Recruitment MENA,Data Analyst,"Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4D0BAQH62iaBWAFgzA/company-logo_100_100/0/1655186307580?e=2147483647&v=beta&t=cccPfMpeiYvNe_VGgxNEp4ojt_HqTX_X-1AHAd29C64
70,Antal International,Data Analytics Manager,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGYpvnZX2tG3g/company-logo_100_100/0/1658163502888?e=2147483647&v=beta&t=a62ixU0WNHlA2hZ7Q29b2wQ6wzpIopK1T4KlcnSjVXA
71,Careem,Data Analyst II,Egypt,1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQECakFb5lj_aw/company-logo_100_100/0/1606036699836?e=2147483647&v=beta&t=0Bp9-cu1avC_Zla5rBMLFe8aiTeDy0EYMuyqNCrckJU
72,Euruq Alsahra,Chief Technology Office  Data Analyst,"Cairo, Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHXJwGnCLp93w/company-logo_100_100/0/1662550057230?e=2147483647&v=beta&t=1lQDBtgk8W0OjxB4hUA9FBUdhvBFU6iPH1YjcQ_07XE
73,MoneyFellows,Data Analyst,"Cairo, Cairo, Egypt",4 months ago,https://media-exp1.licdn.com/dms/image/C560BAQFtm8J14fUtKA/company-logo_100_100/0/1547357095324?e=2147483647&v=beta&t=MvesAC0RzhxEsCc3L2or73cCleQeYnGvPlnOJ-sDmBE
74,DCarbon Egypt,Lifecycle Assessment and Carbon Footprint Researcher,"Cairo, Egypt",1 hour ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFTDnd_U8sxYw/company-logo_100_100/0/1519903462846?e=2147483647&v=beta&t=MvkNyUjuF_VTUEPBxgsn0E7iFTpg9D0_dRIarx-6WDY
