,Company,Job Title,Job Location,Job Date,Job Image URL
33,OLX Egypt,Data Analyst,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFV6Nh-zE7eww/company-logo_100_100/0/1649769484075?e=2147483647&v=beta&t=JsuDaYmj-sXN2mhdkrpiID-EkSdh5pd6ucV8s5fdIqA
34,Koinz,Data Analyst,"Cairo, Egypt",5 days ago,https://media-exp1.licdn.com/dms/image/C4D0BAQGe0lof7xRcPw/company-logo_100_100/0/1570868482744?e=2147483647&v=beta&t=ax2X3sUOaQ5ZfsBFuUhm8VwvlD7ZQvsap_GzRnJTxxI
35,Bosta,Senior Data Analyst,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C4D0BAQFlMZfv36hidA/company-logo_100_100/0/1636474830923?e=2147483647&v=beta&t=ZOg9sHifXeRIPrthvO_tYDwSCt8rmI4TWB5blYtBEus
36,Teradata,Data Scientist,"Cairo, Cairo, Egypt",2 weeks ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGrLEbqJZRT-w/company-logo_100_100/0/1538982145946?e=2147483647&v=beta&t=adiKI9fgE8PlqGA142XZbgwWpfTB8rgRFk4zd67qwEY
37,Axis,Data Analyst,"Cairo, Cairo, Egypt",1 day ago,https://media-exp1.licdn.com/dms/image/C4D0BAQHRFaZ1H7WGFQ/company-logo_100_100/0/1654691837206?e=2147483647&v=beta&t=yxh6qRITMI-oNDOsBl9EyE1jjnS66ZrlJ895xCjqesE
38,Microsoft,Data & Applied Scientist II,"Cairo, Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQE88xCsONDULQ/company-logo_100_100/0/1618231291419?e=2147483647&v=beta&t=rffql7GLHsSqWXKbdP2LJMMv7CMTqu7-Ms9d9tophKI
39,ALEXBANK,CRM Retail Officer (Digital Banking & Marketing Division),"Cairo, Egypt",1 week ago,https://media-exp1.licdn.com/dms/image/C560BAQHZo2Oj_MrYpw/company-logo_100_100/0/1636306365145?e=2147483647&v=beta&t=Rm6EgnV5ljOK0ZVc2gycdQQ4Zh0g6C6dOnKGwaom7D0
40,Udacity,AI Programming with Python,"Cairo, Egypt",3 weeks ago,https://media-exp1.licdn.com/dms/image/C560BAQHiNYfm0YHKrg/company-logo_100_100/0/1656621848272?e=2147483647&v=beta&t=LScuiZRXTMa84YWve4InQYOLbVpxJ8RHRZ-xwrWlJW8
41,Antal International,Data Visualization Associate,"Cairo, Cairo, Egypt",1 month ago,https://media-exp1.licdn.com/dms/image/C4E0BAQGYpvnZX2tG3g/company-logo_100_100/0/1658163502888?e=2147483647&v=beta&t=a62ixU0WNHlA2hZ7Q29b2wQ6wzpIopK1T4KlcnSjVXA
42,Si-Ware Systems,Machine Learning & Data Analysis Graduate Intern,"Cairo, Cairo, Egypt",2 months ago,https://media-exp1.licdn.com/dms/image/C560BAQEJf2IKY2mrrg/company-logo_100_100/0/1657552408696?e=2147483647&v=beta&t=drZXEjcuux9UrI5QzD9eoAm5DpmPrfrh6a2oH6ZOXno
